Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Don Young ,Rep,5-Dec-17,RepDonYoung,RepDonYoung,RepDonYoung,RepDonYoung,AK-0
Bradley Byrne ,Rep,8-Jan-14,RepByrne,RepByrne,RepByrne,RepByrne,AL-1
Martha Roby ,Rep,3-Jan-11,RepMarthaRoby,RepMarthaRoby,RepMarthaRoby,RepMarthaRoby,AL-2
Mike Rogers ,Rep,3-Jan-03,RepMikeRogersAL,RepMikeRogersAL,RepMikeRogersAL,RepMikeRogersAL,AL-3
Robert Aderholt ,Rep,3-Jan-97,Robert_Aderholt,Robert_Aderholt,Robert_Aderholt,Robert_Aderholt,AL-4
Mo Brooks ,Rep,3-Jan-11,RepMoBrooks,RepMoBrooks,RepMoBrooks,RepMoBrooks,AL-5
Gary Palmer ,Rep,3-Jan-15,USRepGaryPalmer,USRepGaryPalmer,USRepGaryPalmer,USRepGaryPalmer,AL-6
Terri Sewell ,Rep,3-Jan-11,RepTerriSewell,RepTerriSewell,RepTerriSewell,RepTerriSewell,AL-7
Rick Crawford ,Rep,3-Jan-11,RepRickCrawford,RepRickCrawford,RepRickCrawford,RepRickCrawford,AR-1
French Hill ,Rep,3-Jan-15,RepFrenchHill,RepFrenchHill,RepFrenchHill,RepFrenchHill,AR-2
Steve Womack ,Rep,3-Jan-11,Rep_SteveWomack,Rep_SteveWomack,Rep_SteveWomack,Rep_SteveWomack,AR-3
Bruce Westerman ,Rep,3-Jan-15,RepWesterman,RepWesterman,RepWesterman,RepWesterman,AR-4
Amata Coleman Radewagen,Rep,3-Jan-15,RepAmata,RepAmata,RepAmata,RepAmata,AS-0
Tom O'Halleran ,Rep,3-Jan-17,repohalleran,repohalleran,repohalleran,repohalleran,AZ-1
Ann Kirkpatrick ,Rep,3-Jan-19,RepKirkpatrick,RepKirkpatrick,RepKirkpatrick,RepKirkpatrick,AZ-2
Raúl Grijalva ,Rep,3-Jan-03,RepraulGrijalva,RepraulGrijalva,RepraulGrijalva,RepraulGrijalva,AZ-3
Paul Gosar ,Rep,3-Jan-11,RepGosar,RepGosar,RepGosar,RepGosar,AZ-4
Andy Biggs ,Rep,3-Jan-17,RepAndyBiggsAZ,RepAndyBiggsAZ,RepAndyBiggsAZ,RepAndyBiggsAZ,AZ-5
David Schweikert ,Rep,3-Jan-13,RepDavid,RepDavid,RepDavid,RepDavid,AZ-6
Ruben Gallego ,Rep,3-Jan-15,RepRubenGallego,RepRubenGallego,RepRubenGallego,RepRubenGallego,AZ-7
Debbie Lesko ,Rep,7-May-18,RepDLesko,RepDLesko,RepDLesko,RepDLesko,AZ-8
Greg Stanton ,Rep,3-Jan-19,RepGregStanton,RepGregStanton,RepGregStanton,RepGregStanton,AZ-9
Doug LaMalfa ,Rep,3-Jan-13,RepLaMalfa,RepLaMalfa,RepLaMalfa,RepLaMalfa,CA-1
Josh Harder ,Rep,3-Jan-19,RepJoshHarder,RepJoshHarder,RepJoshHarder,RepJoshHarder,CA-10
Mark DeSaulnier ,Rep,3-Jan-15,RepDeSaulnier,RepDeSaulnier,RepDeSaulnier,RepDeSaulnier,CA-11
Nancy Pelosi ,Rep,2-Jun-87,SpeakerPelosi,SpeakerPelosi,SpeakerPelosi,SpeakerPelosi,CA-12
Barbara Lee ,Rep,21-Apr-98,RepBarbaraLee,RepBarbaraLee,RepBarbaraLee,RepBarbaraLee,CA-13
Jackie Speier ,Rep,3-Jan-13,RepSpeier,RepSpeier,RepSpeier,RepSpeier,CA-14
Eric Swalwell ,Rep,3-Jan-13,RepSwalwell,RepSwalwell,RepSwalwell,RepSwalwell,CA-15
Jim Costa ,Rep,3-Jan-05,RepJimCosta,RepJimCosta,RepJimCosta,RepJimCosta,CA-16
Ro Khanna ,Rep,3-Jan-17,RepRoKhanna,RepRoKhanna,RepRoKhanna,RepRoKhanna,CA-17
Anna Eshoo ,Rep,3-Jan-13,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,CA-18
Zoe Lofgren ,Rep,3-Jan-95,RepZoeLofgren,RepZoeLofgren,RepZoeLofgren,RepZoeLofgren,CA-19
Jared Huffman ,Rep,3-Jan-13,RepHuffman,RepHuffman,RepHuffman,RepHuffman,CA-2
Jimmy Panetta ,Rep,3-Jan-17,RepJimmyPanetta,RepJimmyPanetta,RepJimmyPanetta,RepJimmyPanetta,CA-20
TJ Cox ,Rep,3-Jan-19,RepTjCox,RepTjCox,RepTjCox,RepTjCox,CA-21
